BORO,OCC,FW,year
2,1,213.72654,2002
2,2,206.8815,2002
2,3,138.81437,2002
2,3,232.17265,2002
2,3,17.25616,2002
2,3,222.99952,2002
2,2,255.65527,2002
2,1,245.72967,2002
2,3,213.67767,2002
2,3,259.6105,2002
2,3,17.25616,2002
2,3,195.60734,2002
2,3,17.25616,2002
2,1,197.95042,2002
2,1,213.67767,2002
2,3,222.99952,2002
2,3,214.24757,2002
2,3,204.03651,2002
2,3,206.34971,2002
2,3,222.99952,2002
2,3,156.46196,2002
2,3,230.95033,2002
2,2,193.141,2002
2,3,206.8277,2002
2,1,262.16012,2002
2,3,17.25616,2002
2,3,167.63419,2002
2,3,17.25616,2002
2,3,17.25616,2002
2,3,246.62718,2002
2,3,149.81466,2002
2,3,222.99952,2002
2,1,149.81466,2002
2,3,183.37029,2002
2,3,206.8277,2002
2,3,224.79583,2002
2,1,255.65527,2002
2,3,213.67767,2002
2,3,183.6953,2002
2,3,17.25616,2002
2,1,212.44057,2002
2,3,183.37029,2002
2,1,151.70179,2002
2,3,246.27495,2002
2,3,213.67767,2002
2,1,160.01708,2002
2,1,159.0203,2002
2,3,213.67767,2002
2,3,222.99952,2002
2,2,228.31641,2002
2,1,151.70179,2002
2,1,245.72967,2002
2,1,222.99952,2002
2,1,196.18983,2002
2,3,192.32822,2002
2,3,163.98099,2002
2,3,222.99952,2002
2,3,17.25616,2002
2,3,255.65527,2002
2,3,206.50083,2002
2,3,17.25616,2002
2,3,222.99952,2002
2,3,17.25616,2002
2,3,217.49388,2002
2,1,252.49763,2002
2,3,214.24757,2002
2,3,17.25616,2002
2,1,17.74623,2002
2,3,153.18888,2002
2,3,198.50783,2002
2,1,232.17265,2002
2,3,213.67767,2002
2,1,155.35774,2002
2,3,136.7005,2002
2,3,178.17058,2002
2,3,185.62096,2002
2,3,206.8277,2002
2,3,17.25616,2002
2,1,206.34971,2002
2,3,17.25616,2002
2,1,245.72967,2002
2,1,209.93114,2002
2,1,287.50828,2002
2,1,182.22949,2002
2,2,190.47665,2002
2,1,198.00269,2002
2,3,138.81437,2002
2,3,160.01708,2002
2,3,17.25616,2002
2,3,183.37029,2002
2,1,270.59602,2002
2,1,258.55387,2002
2,3,209.93114,2002
2,3,283.83868,2002
2,3,213.72654,2002
2,3,222.99952,2002
2,3,184.60529,2002
2,3,169.7783,2002
2,3,216.8856,2002
2,3,190.47665,2002
2,1,222.99952,2002
2,2,139.50704,2002
2,3,224.79583,2002
2,1,213.67767,2002
2,3,140.86289,2002
2,3,17.25616,2002
2,3,222.07819,2002
2,1,204.18314,2002
2,3,217.49388,2002
2,3,17.25616,2002
2,3,17.25616,2002
2,3,17.25616,2002
2,3,183.6953,2002
2,2,193.6648,2002
2,2,17.25616,2002
2,3,178.17058,2002
2,2,206.00255,2002
2,3,171.35916,2002
2,2,184.20781,2002
2,2,176.93193,2002
2,1,175.32631,2002
2,1,213.67767,2002
2,3,18.53358,2002
2,2,204.03651,2002
2,1,256.27889,2002
2,3,138.81437,2002
2,3,176.93193,2002
2,1,246.62718,2002
2,3,255.65527,2002
2,3,17.25616,2002
2,2,190.47665,2002
2,3,222.99952,2002
2,3,232.17265,2002
2,3,17.25616,2002
2,3,167.63419,2002
2,3,163.98099,2002
2,3,160.20832,2002
2,3,255.65527,2002
2,1,213.67767,2002
2,3,247.81933,2002
2,3,165.0142,2002
2,3,182.22949,2002
2,3,229.09524,2002
2,1,183.33342,2002
2,1,159.0203,2002
2,1,222.99952,2002
2,3,17.25616,2002
2,1,151.05413,2002
2,2,198.50783,2002
2,1,138.81437,2002
2,1,219.26141,2002
2,3,141.05348,2002
2,1,17.74623,2002
2,3,17.25616,2002
2,3,222.00332,2002
2,3,212.44057,2002
2,1,216.8856,2002
2,1,136.7005,2002
2,3,213.67767,2002
2,3,201.34897,2002
2,1,235.15865,2002
2,3,222.99952,2002
2,1,211.56773,2002
2,1,155.35774,2002
2,3,134.20713,2002
2,1,171.35916,2002
2,1,206.00255,2002
2,3,222.99952,2002
2,3,197.95042,2002
2,3,17.25616,2002
2,1,206.00255,2002
2,3,213.67767,2002
2,3,17.25616,2002
